date,portfolio_value
2018-04-19,126615.59566874502
2018-04-20,126404.97255320547
2018-04-23,126681.69300456045
2018-04-24,126375.93556590079
2018-04-25,125747.07571024893
2018-04-26,126930.33375926016
2018-04-27,127170.66060252188
2018-04-30,128465.28649516104
2018-05-02,127185.21533579825
2018-05-03,126648.87989420889
2018-05-04,126622.27276225088
2018-05-07,126943.39670939444
2018-05-08,126977.7703589916
2018-05-09,126391.00107188223
2018-05-10,125500.07069773672
2018-05-11,126193.9211692333
2018-05-14,125693.35427470205
2018-05-15,125497.34157176016
2018-05-16,125353.36448283194
2018-05-17,125019.89864726065
2018-05-18,123315.86026377676
2018-05-21,122496.21390414237
2018-05-22,123330.0363986492
2018-05-23,122518.0246722698
2018-05-24,122916.79662203787
2018-05-25,123994.32446261405
2018-05-28,124646.71371983908
2018-05-29,124188.22293614768
2018-05-30,124594.73724889182
2018-05-31,124547.91692540549
2018-06-01,124038.55300328635
2018-06-04,123756.74651329611
2018-06-05,122802.11297725484
2018-06-06,123776.28955196188
2018-06-07,123692.56192134664
2018-06-08,123654.80590938375
2018-06-11,123474.59521602438
2018-06-12,123525.6689770107
2018-06-13,123594.70404170797
2018-06-14,123416.08700368306
2018-06-15,123277.24313826558
2018-06-18,122864.8714646816
2018-06-19,122448.49442000386
2018-06-20,122600.52606673237
2018-06-21,122208.3738133144
2018-06-22,122580.23932234761
2018-06-25,122128.34888045308
2018-06-26,122377.85608260152
2018-06-27,121983.01792235371
2018-06-28,121504.83368773457
2018-06-29,121687.25187010762
2018-07-02,121496.59162230488
2018-07-03,121684.33640379902
2018-07-04,121948.50876708027
2018-07-05,121739.9774865627
2018-07-06,121653.31867308613
2018-07-09,122039.12848753926
2018-07-10,122261.61037184713
2018-07-11,122353.50734450338
2018-07-12,122676.60640456197
2018-07-13,122197.60396315572
2018-07-16,121329.74815871236
2018-07-17,121788.52472136496
2018-07-18,121707.69087431906
2018-07-19,121343.12935054586
2018-07-20,121829.24524043844
2018-07-23,122359.42006266591
2018-07-24,123201.43360639761
2018-07-25,123667.93680903432
2018-07-26,123388.36260740469
2018-07-27,123898.07462064932
2018-07-30,123406.6657461376
2018-07-31,124032.98455373953
2018-08-01,124543.67477934073
2018-08-02,124634.24195997427
2018-08-03,124192.11374036978
2018-08-06,124203.41733305166
2018-08-07,123270.1266950817
2018-08-08,124144.48943082998
2018-08-09,124847.60456602286
2018-08-10,124241.3191408367
2018-08-13,124373.1401399822
2018-08-14,125336.81744138907
2018-08-16,125410.6749996395
2018-08-17,126287.00031797598
2018-08-20,127005.87710897635
2018-08-21,127205.92248861502
2018-08-23,127272.09662763785
2018-08-24,126744.78345625113
2018-08-27,127273.84417669485
2018-08-28,127962.76772253225
2018-08-29,127974.7760347576
2018-08-30,128518.42083494375
2018-08-31,129220.00589506338
2018-09-03,128236.18812696646
2018-09-04,127509.74558012198
2018-09-05,127621.22816984366
2018-09-06,129553.2727560253
2018-09-07,129408.00345556448
2018-09-10,128393.70414297293
2018-09-11,127050.54264785573
2018-09-12,127963.5615817089
2018-09-14,128578.60193929862
2018-09-17,128015.26586828422
2018-09-18,127228.8140994091
2018-09-19,126922.66636953544
2018-09-21,125343.90791231787
2018-09-24,123695.56297753392
2018-09-25,124032.77252646122
2018-09-26,123443.777675387
2018-09-27,123520.88162588749
2018-09-28,122408.36722159061
2018-10-01,123051.85612021122
2018-10-03,122291.40003280887
2018-10-04,121649.8549354578
2018-10-05,120565.22278671512
2018-10-08,120586.32152834568
2018-10-09,120711.11057558689
2018-10-10,121361.05613222752
2018-10-11,120752.82688418064
2018-10-12,121182.01935549412
2018-10-15,121890.3597790781
2018-10-16,122222.85385866795
2018-10-17,122470.7133099619
2018-10-19,123074.86920900975
2018-10-22,123007.92514773045
2018-10-23,122424.15827443944
2018-10-24,122293.32836416112
