symbol,oversold_bounce_rate,overbought_fall_rate,mr_score,strength,num_oversold,num_overbought
LUPIN.NS,0.5309090909090909,0.5209790209790209,0.5259440559440559,Weak/Trending,275,286
SHREECEM.NS,0.515358361774744,0.48556430446194226,0.5004613331183432,Weak/Trending,293,381
BSE.NS,0.5081967213114754,0.4715447154471545,0.48987071837931495,Weak/Trending,122,369
SHRIRAMFIN.NS,0.5511363636363636,0.5297619047619048,0.5404491341991342,Moderate Mean Reversion,176,336
AMBUJACEM.NS,0.5812807881773399,0.5290519877675841,0.555166387972462,Moderate Mean Reversion,203,327
GAIL.NS,0.5982905982905983,0.514367816091954,0.5563292071912762,Moderate Mean Reversion,234,348
DABUR.NS,0.5458015267175572,0.5393586005830904,0.5425800636503237,Moderate Mean Reversion,262,343
VBL.NS,0.5695364238410596,0.5011494252873563,0.535342924564208,Moderate Mean Reversion,151,435
LODHA.NS,0.5294117647058824,0.5144230769230769,0.5219174208144797,Weak/Trending,136,208
BHARTIHEXA.NS,0.4444444444444444,0.5555555555555556,0.5,Weak/Trending,36,99
POWERGRID.NS,0.6009174311926605,0.5714285714285714,0.5861730013106159,Strong Mean Reversion,218,420
JIOFIN.NS,0.527027027027027,0.46153846153846156,0.49428274428274427,Weak/Trending,74,91
GRASIM.NS,0.5069767441860465,0.49743589743589745,0.5022063208109719,Weak/Trending,215,390
IRB.NS,0.5213675213675214,0.5251798561151079,0.5232736887413146,Weak/Trending,234,278
EICHERMOT.NS,0.537117903930131,0.5052631578947369,0.521190530912434,Weak/Trending,229,380
DMART.NS,0.4703196347031963,0.5221674876847291,0.49624356119396273,Weak/Trending,219,406
IRFC.NS,0.6296296296296297,0.460431654676259,0.5450306421529443,Moderate Mean Reversion,27,139
TVSMOTOR.NS,0.55,0.5,0.525,Weak/Trending,220,434
KALYANKJIL.NS,0.5111111111111111,0.47685185185185186,0.49398148148148147,Weak/Trending,90,216
JUBLFOOD.NS,0.49356223175965663,0.5259259259259259,0.5097440788427913,Weak/Trending,233,405
BAJAJFINSV.NS,0.5144508670520231,0.49169435215946844,0.5030726096057458,Weak/Trending,173,301
APOLLOHOSP.NS,0.5,0.5338753387533876,0.5169376693766938,Weak/Trending,180,369
RVNL.NS,0.5774647887323944,0.5336538461538461,0.5555593174431203,Moderate Mean Reversion,71,208
ZYDUSLIFE.NS,0.55,0.4818181818181818,0.5159090909090909,Weak/Trending,240,330
LT.NS,0.5695067264573991,0.4961636828644501,0.5328352046609246,Moderate Mean Reversion,223,391
ULTRACEMCO.NS,0.5789473684210527,0.5049261083743842,0.5419367383977185,Moderate Mean Reversion,209,406
HDFCAMC.NS,0.47701149425287354,0.5303514376996805,0.503681465976277,Weak/Trending,174,313
MANKIND.NS,0.5294117647058824,0.4765625,0.5029871323529411,Weak/Trending,68,128
SAIL.NS,0.5330188679245284,0.4675324675324675,0.500275667728498,Weak/Trending,212,308
ITCHOTELS.NS,0.4838709677419355,0.5945945945945946,0.5392327811682651,Moderate Mean Reversion,31,37
ASIANPAINT.NS,0.5128205128205128,0.5134408602150538,0.5131306865177833,Weak/Trending,234,372
ADANIENSOL.NS,0.5434782608695652,0.5522388059701493,0.5478585334198572,Moderate Mean Reversion,46,67
TATAPOWER.NS,0.5483870967741935,0.48013245033112584,0.5142597735526597,Weak/Trending,186,302
AUBANK.NS,0.4973544973544973,0.498220640569395,0.4977875689619462,Weak/Trending,189,281
BLUESTARCO.NS,0.49743589743589745,0.5186046511627908,0.508020274299344,Weak/Trending,195,430
BANKBARODA.NS,0.5461254612546126,0.48424068767908307,0.5151830744668479,Weak/Trending,271,349
PFC.NS,0.5019762845849802,0.4515366430260047,0.47675646380549247,Weak/Trending,253,423
TATASTEEL.NS,0.5473251028806584,0.5085714285714286,0.5279482657260435,Weak/Trending,243,350
PIDILITIND.NS,0.5470085470085471,0.5059101654846335,0.5264593562465902,Weak/Trending,234,423
NTPC.NS,0.5721153846153846,0.5284974093264249,0.5503063969709048,Moderate Mean Reversion,208,386
ADANIGREEN.NS,0.43333333333333335,0.364,0.39866666666666667,Weak/Trending,90,250
IRCTC.NS,0.5753424657534246,0.48520710059171596,0.5302747831725703,Moderate Mean Reversion,73,169
NESTLEIND.NS,0.5467980295566502,0.5337837837837838,0.5402909066702171,Moderate Mean Reversion,203,444
NHPC.NS,0.5454545454545454,0.5433526011560693,0.5444035733053074,Moderate Mean Reversion,187,346
FEDERALBNK.NS,0.5825242718446602,0.5317220543806647,0.5571231631126624,Moderate Mean Reversion,206,331
IREDA.NS,0.42105263157894735,0.509090909090909,0.4650717703349282,Weak/Trending,38,55
PNB.NS,0.5683760683760684,0.46757679180887374,0.5179764300924711,Weak/Trending,234,293
ATGL.NS,0.38202247191011235,0.45535714285714285,0.4186898073836276,Weak/Trending,89,224
ALKEM.NS,0.5,0.5150753768844221,0.507537688442211,Weak/Trending,232,398
DRREDDY.NS,0.5679611650485437,0.5125786163522013,0.5402698907003725,Moderate Mean Reversion,206,318
HDFCBANK.NS,0.5353535353535354,0.48641304347826086,0.5108832894158981,Weak/Trending,198,368
NMDC.NS,0.55078125,0.4689119170984456,0.5098465835492227,Weak/Trending,256,386
SBIN.NS,0.553763440860215,0.45962732919254656,0.5066953850263808,Weak/Trending,186,322
ABCAPITAL.NS,0.5180180180180181,0.4948805460750853,0.5064492820465517,Weak/Trending,222,293
BHARATFORG.NS,0.5314009661835749,0.5112359550561798,0.5213184606198773,Weak/Trending,207,356
