symbol,autocorr_1d,autocorr_5d,autocorr_20d,correlation,p_value,strength
VMM.NS,-0.07462204701532704,-0.055720642858791615,-0.02043073555157499,-0.07462204701532697,0.20357001092908633,Mean Reverting
HUDCO.NS,0.042992502173981574,0.04630517692368592,0.004198290588958026,0.042992502173981526,0.045429672096821985,Weak/Random
FORTIS.NS,-0.04680471979648654,-0.02806803556484218,0.02010322669848476,-0.04680471979648653,0.026110351062472385,Weak/Random
ADANIPOWER.NS,0.14067020818859816,0.00233770134796645,0.02015517052392672,0.1406702081885981,1.87264967151263e-11,Strong Momentum
ACC.NS,0.006944217867893917,0.031064200999329494,0.04351255701319935,0.0069442178678939415,0.7414962250940645,Weak/Random
CUMMINSIND.NS,0.012582875113282582,0.0005787408269248736,-0.020617411314283365,0.012582875113282578,0.5500995993983616,Weak/Random
JINDALSTEL.NS,-0.03340815960802718,0.03042719397700763,0.006328419515663512,-0.033408159608027156,0.11249751071819425,Weak/Random
ASHOKLEY.NS,0.02120351319212173,-0.03194734666312399,0.026547533564084916,0.02120351319212174,0.3137733704698042,Weak/Random
TIINDIA.NS,0.04575081728052943,0.05107823594916801,-0.053857576199425515,0.045750817280529425,0.03833287159872397,Weak/Random
ENRIN.NS,0.1980762682496618,0.05922808210777474,0.01663539464134768,0.19807626824966176,0.010762620382479644,Strong Momentum
MUTHOOTFIN.NS,-0.02548143106671123,0.023123536153637724,0.012206496267910736,-0.025481431066711233,0.22603662531227342,Weak/Random
HINDZINC.NS,0.01830815109930411,0.02700978240291237,-0.01995316123648648,0.018308151099304084,0.3844325268960162,Weak/Random
360ONE.NS,0.0037297919322505646,-0.004431143502494461,0.03989302715689912,0.0037297919322505767,0.8819366376547815,Weak/Random
GMRAIRPORT.NS,-0.03514872465138511,0.0004184961047859029,-0.0023487668242848543,-0.03514872465138512,0.09488514286596168,Weak/Random
JSWENERGY.NS,0.0073966128163644495,0.010707797959042496,-0.016148509356800587,0.007396612816364436,0.725315749179117,Weak/Random
DIXON.NS,0.06229917232511056,0.00746585716048094,0.01946119650372843,0.06229917232511058,0.0044497375224591355,Moderate Momentum
INDIGO.NS,0.044910541581093616,-0.0008050889191649332,-0.007428279756492156,0.044910541581093595,0.03280629946001641,Weak/Random
M&MFIN.NS,-0.003973781846880814,0.04083805890544029,0.05443902515308071,-0.00397378184688081,0.8502763443912219,Weak/Random
SUZLON.NS,0.18921677229591266,-0.029945600949145765,0.013695638794455203,0.18921677229591252,1.186368589398808e-19,Strong Momentum
PREMIERENE.NS,0.12345518313717814,-0.06280914525997461,-0.12294371459275012,0.12345518313717817,0.018137306468105234,Strong Momentum
WAAREEENER.NS,0.14747706364864288,-0.08568872447971547,-0.012561752694121684,0.14747706364864296,0.007464668426833861,Strong Momentum
BIOCON.NS,-0.02729179158967923,-0.05987060872443489,0.006032530284586396,-0.02729179158967923,0.19484249881579693,Weak/Random
PATANJALI.NS,0.21031779703815948,-0.011854664398324223,0.02735193578488662,0.2103177970381595,5.310840344763925e-24,Strong Momentum
POWERINDIA.NS,0.06109786964225101,0.010904247326596164,-0.015659128047059493,0.06109786964225105,0.01951580621706186,Moderate Momentum
