symbol,num_uptrends,num_downtrends,avg_uptrend_return,avg_downtrend_return,avg_uptrend_days,trend_quality
CONCOR.NS,27,26,2.231989078398636,0.8036885268312683,64.44444444444444,1.4283005515673677
GODREJCP.NS,22,21,3.302866131263278,1.8098692854369969,90.72727272727273,1.492996845826281
PIIND.NS,21,21,6.375100851616089,2.1542783488882487,86.42857142857143,4.220822502727841
NATIONALUM.NS,22,23,10.467091066979206,1.9739903910931407,83.95454545454545,8.493100675886065
COALINDIA.NS,27,27,2.851289223955261,2.6949444493275876,64.18518518518519,0.15634477462767338
CANBK.NS,24,23,3.929199271213257,4.164572580077923,76.91666666666667,-0.23537330886466634
HAVELLS.NS,26,25,3.8196892867119954,2.3287358768988176,71.23076923076923,1.4909534098131778
PRESTIGE.NS,22,21,11.039389489018399,3.1164913537996664,92.68181818181819,7.922898135218732
INFY.NS,23,22,5.583732771878812,2.231170855992668,94.08695652173913,3.352561915886144
AUROPHARMA.NS,21,21,5.909089218906898,0.9309367034212267,81.66666666666667,4.978152515485671
HCLTECH.NS,25,24,4.165386941558298,3.129343478094755,80.28,1.036043463463543
BAJAJ-AUTO.NS,27,27,6.1044001286480025,0.5222042230427044,74.48148148148148,5.582195905605298
BOSCHLTD.NS,21,20,5.272949737341538,-1.0379956407280757,78.71428571428571,6.310945378069613
SOLARINDS.NS,20,20,16.41234077909049,2.2550662725269275,101.75,14.15727450656356
BRITANNIA.NS,23,22,3.231640132018247,4.085693743331781,86.34782608695652,-0.854053611313534
ONGC.NS,21,22,4.894539906104571,0.7786939992711637,82.61904761904762,4.115845906833407
BHARTIARTL.NS,22,21,5.541752470246525,4.852321339919466,97.95454545454545,0.6894311303270593
TATAELXSI.NS,25,24,11.70104732012621,4.266813991202189,75.24,7.434233328924022
GODREJPROP.NS,26,25,4.4285531303823635,4.136517356583858,74.57692307692308,0.29203577379850554
KPITTECH.NS,16,16,25.888876181786188,1.6938177181757756,95.9375,24.195058463610412
PAGEIND.NS,19,18,6.488990567510308,1.498386066118672,98.47368421052632,4.990604501391636
ITC.NS,19,18,6.213560408833976,-1.1218496009965722,92.26315789473684,7.335410009830548
SIEMENS.NS,23,23,6.295649720970085,2.731902135546446,85.95652173913044,3.5637475854236387
ADANIPORTS.NS,24,24,6.6820034229081715,2.709206035902561,84.41666666666667,3.9727973870056106
HINDUNILVR.NS,26,26,1.8976996632424248,3.3228320222112084,72.46153846153847,-1.4251323589687837
MOTHERSON.NS,22,22,5.202281659933757,3.9115528533433026,88.0,1.290728806590454
CIPLA.NS,21,20,2.9775505110075606,2.8555897256299163,88.57142857142857,0.12196078537764432
ICICIGI.NS,20,19,4.590370774679722,1.1851026615984843,82.0,3.405268113081238
UNIONBANK.NS,21,21,6.963946643563553,-0.7959696847820377,72.14285714285714,7.75991632834559
BANKINDIA.NS,27,27,1.235108997160904,2.9535861530500775,57.55555555555556,-1.7184771558891736
PHOENIXLTD.NS,24,23,8.217589685875177,5.019450647018863,91.95833333333333,3.198139038856314
MARICO.NS,22,22,2.3323242201712,2.972969258233128,87.31818181818181,-0.6406450380619284
UNITDSPR.NS,4,3,-0.5827660569560305,-0.38235563942381035,75.5,-0.2004104175322201
TATATECH.NS,4,4,-1.5907955317341893,-8.401897166569718,41.5,6.811101634835529
M&M.NS,27,26,5.109735331968592,3.202335112725029,74.03703703703704,1.9074002192435628
BAJFINANCE.NS,23,22,7.16707579807319,5.4707174064253055,90.26086956521739,1.6963583916478848
AXISBANK.NS,27,27,1.8463869932241577,2.9869115087024913,74.18518518518519,-1.1405245154783337
JSWSTEEL.NS,25,26,12.743225316804931,2.175265968006328,81.0,10.567959348798603
TRENT.NS,21,20,19.576817481765612,7.923501018227215,104.0952380952381,11.653316463538397
POLICYBZR.NS,8,8,12.856025116337994,3.6497595692287095,108.75,9.206265547109284
RECLTD.NS,25,25,10.994881604115642,3.907791093093911,70.2,7.0870905110217315
GLENMARK.NS,29,28,5.192528605278115,0.6862776116043339,61.13793103448276,4.506250993673781
CHOLAFIN.NS,25,25,10.406403084275228,3.824356201127992,83.0,6.582046883147235
KEI.NS,22,22,14.410649931561153,6.697488582787009,105.81818181818181,7.713161348774144
SRF.NS,23,23,5.265773635895596,6.365821910516745,89.1304347826087,-1.100048274621149
TATACONSUM.NS,22,21,10.61464558196313,1.8627137570421641,93.04545454545455,8.751931824920966
IGL.NS,28,27,0.9769271128946873,3.0375766851303605,67.53571428571429,-2.0606495722356732
DLF.NS,25,24,4.1901543357038475,6.139695858385925,73.16,-1.9495415226820771
SUNPHARMA.NS,25,24,2.02894822382157,2.9574226881990335,77.96,-0.9284744643774636
LUPIN.NS,27,28,1.7185135647091594,2.3354087822152843,57.96296296296296,-0.6168952175061249
